"contrast","estimate","SE","df","t.ratio","p.value"
"entry9 - entry19",-92.882408365391,96.6911974539836,71,-0.960608729761514,0.999983483297811
"entry9 - entry20",-514.172424752695,91.0004666826209,71,-5.65021744938909,5.36251916367636e-05
"entry9 - entry3",-16.1104849851638,97.4886050572614,71,-0.165255056995646,1
"entry9 - entry5",-221.652082297621,90.8086348966542,71,-2.44087010612895,0.630388455253958
"entry9 - entry8",90.4096417702358,93.2800249195608,71,0.96922831922697,0.999981057526482
"entry9 - entry15",82.6578410256671,108.096127792429,71,0.764669768600687,0.999999573104465
"entry10 - entry11",-542.409183413789,67.9962601145253,71,-7.97704436244311,3.37255023907801e-09
"entry10 - entry12",44.1297016936425,73.4264726611031,71,0.601005333557575,0.999999993005991
"entry10 - entry13",-334.850748820803,67.5997337075078,71,-4.95343295684631,0.000762212943030138
"entry10 - entry14",256.416910454335,67.8804471751923,71,3.77747821537696,0.0379687313195668
"entry10 - entry16",-246.703436495011,72.5090477177574,71,-3.40238141666552,0.104800386053494
"entry10 - entry17",-137.067062090556,70.8867021809475,71,-1.93360754377704,0.916753603231065
"entry10 - entry18",-11.9375804073115,73.1992224359991,71,-0.163083431900509,1
"entry10 - entry19",-58.3320984825716,80.3001862183579,71,-0.726425444692629,0.999999818915276
"entry10 - entry20",-479.622114869876,72.3015536239709,71,-6.63363497504238,9.96255017926551e-07
"entry10 - entry3",18.4398248976556,78.0745752439227,71,0.236182199391357,1
"entry10 - entry5",-187.101772414802,70.8755376686021,71,-2.63986388773017,0.486926190070039
"entry10 - entry8",124.959951653055,73.9673962616685,71,1.68939232646495,0.97529885149375
"entry10 - entry15",117.208150908486,91.1999977370725,71,1.28517712518365,0.998946431414036
"entry11 - entry12",586.538885107432,71.1039717657528,71,8.24903125017748,1.00800445768101e-09
"entry11 - entry13",207.558434592986,65.181629928085,71,3.18430875113104,0.176124252142306
"entry11 - entry14",798.826093868125,65.4659642554715,71,12.2021588309739,0
"entry11 - entry16",295.705746918778,70.1834649516589,71,4.21332499218234,0.00994452648593458
"entry11 - entry17",405.342121323233,68.8900401177798,71,5.88390020720308,2.12297309678533e-05
"entry11 - entry18",530.471603006478,70.846323863075,71,7.487637665318,2.75080125344829e-08
"entry11 - entry19",484.077084931218,78.0570938813514,71,6.20157708749734,5.89007824647325e-06
"entry11 - entry20",62.7870685439133,69.9492666672321,71,0.897608674621404,0.999994259927903
"entry11 - entry3",560.849008311445,75.7909286857093,71,7.39994901813619,3.99126516281711e-08
"entry11 - entry5",355.307410998988,68.486521064451,71,5.18799035892941,0.00031849866591338
"entry11 - entry8",667.369135066844,72.0423002567004,71,9.26357338242784,0
"entry11 - entry15",659.617334322276,88.9941673706907,71,7.41191646385934,3.79375775239055e-08
"entry12 - entry13",-378.980450514446,70.7499366661485,71,-5.35661893667497,0.000167743062423398
"entry12 - entry14",212.287208760693,70.997886623441,71,2.99004968819175,0.265821433212513
"entry12 - entry16",-290.833138188654,74.8257557918065,71,-3.88680521982111,0.0275327527249359
"entry12 - entry17",-181.196763784199,74.1615357423858,71,-2.44327146101208,0.628669138424449
"entry12 - entry18",-56.0672821009539,76.1542782731775,71,-0.736232860087409,0.999999773173301
"entry12 - entry19",-102.461800176214,82.2778847017429,71,-1.24531398136495,0.999304359056495
"entry12 - entry20",-523.751816563518,75.2673548743354,71,-6.95855218292129,2.56792392572258e-07
"entry12 - entry3",-25.6898767959868,81.0624195437454,71,-0.316914754587646,1
"entry12 - entry5",-231.231474108444,73.9299872712969,71,-3.1277088315991,0.199598034673002
"entry12 - entry8",80.8302499594127,77.3713848214495,71,1.04470470763765,0.99994141890045
"entry12 - entry15",73.078449214844,93.9009224531781,71,0.778250599734877,0.999999428572997
"entry13 - entry14",591.267659275139,65.0666673746754,71,9.08710532030824,0
"entry13 - entry16",88.1473123257923,69.8274251530269,71,1.26235948314888,0.999166944344021
"entry13 - entry17",197.783686730247,68.4956793917369,71,2.88753522100413,0.323440559659931
"entry13 - entry18",322.913168413492,70.4737067198388,71,4.58203752070543,0.00287690450653677
"entry13 - entry19",276.518650338232,77.7421748870048,71,3.5568679515352,0.0701998310403514
"entry13 - entry20",-144.771366049072,69.5768996054003,71,-2.08073896465826,0.855198250522967
"entry13 - entry3",353.290573718459,75.4460033032928,71,4.68269435424209,0.00202153219104895
"entry13 - entry5",147.748976406002,68.110785268105,71,2.16924494152308,0.808405885294904
"entry13 - entry8",459.810700473859,71.6715624289034,71,6.41552499891405,2.45350603322869e-06
"entry13 - entry15",452.05889972929,88.7037798758636,71,5.09627549538389,0.000449270772031829
"entry14 - entry16",-503.120346949347,70.0772751939219,71,-7.1795078441204,1.01386648743151e-07
"entry14 - entry17",-393.483972544892,68.7748315714986,71,-5.72133676744558,4.05142431392225e-05
"entry14 - entry18",-268.354490861647,70.7297786059272,71,-3.79408074153308,0.0361849055416202
"entry14 - entry19",-314.749008936907,77.9692710861825,71,-4.0368340572147,0.0174232838743026
"entry14 - entry20",-736.039025324211,69.849677655279,71,-10.5374720404108,0
"entry14 - entry3",-237.97708555668,75.6905467853028,71,-3.14407935553306,0.192586331880179
"entry14 - entry5",-443.518682869137,68.3860489542219,71,-6.48551407270263,1.83892026561772e-06
