"env","site","year","rep","row","col","entry","yield","fitted","resid","resid_norm","resid_kind","flag_outlier"
"MilletVT_2025","MilletVT",2025,"8",16,6,"6",3970.698691,4461.42173666033,-490.723045660331,-2.28515311942971,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",2,6,"7",4296.611133,4621.01666875345,-324.405535753449,-1.1456296780792,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",14,6,"9",4036.942566,4099.15168337253,-62.2091173725344,-0.177604928134818,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",10,6,"10",5255.890835,4945.43783120317,310.453003796829,1.66589943432447,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",15,6,"11",4142.217046,4315.16089663683,-172.943850636835,-0.635563168875839,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",11,6,"12",4016.303318,4161.88456457919,-145.581246579193,-0.537728468144612,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",12,6,"13",3744.888987,3888.91414251441,-144.02515551441,-0.292346384622325,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",3,6,"14",3795.972849,4030.6938272413,-234.720978241301,-0.613384227763077,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",7,6,"18",5352.950438,5028.92256290254,324.027875097459,1.17005734876473,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",4,6,"19",5216.239939,4999.36685458291,216.873084417095,1.11081422801955,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",8,6,"20",4031.412965,4302.62570414478,-271.212739144775,-1.27227416245891,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",9,7,"1",5312.035103,4895.97891936637,416.056183633628,1.60901869021925,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",14,7,"2",4654.290947,4498.6951610132,155.595785986804,0.227282544694172,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",1,7,"3",4558.209495,4897.04557988242,-338.83608488242,-1.51027060987375,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",11,7,"4",4713.966102,4890.00655254491,-176.040450544911,-0.597070160185133,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"6",7,7,"5",4280.093903,4640.99370226015,-360.899799260146,-1.12812444341,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"7",12,7,"7",4422.034461,4621.01666840634,-198.982207406342,-0.198364670175558,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"8",15,7,"8",4044.041449,4352.6914068825,-308.649957882505,-0.693201068413118,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"5",4,7,"11",4425.536188,4315.16090692812,110.375281071878,0.800650237977975,"normalized (nlme)",FALSE
