"contrast","estimate","SE","df","t.ratio","p.value"
"entry3 - entry15",-3.1435725270762,2.29564714791682,328,-1.36936224276837,0.999999481753851
"entry3 - entry16",-2.75212552180303,2.29508342694427,328,-1.19913964324481,0.999999989802222
"entry3 - entry17",-1.91188530411973,2.29775687034054,328,-0.832065972165445,1
"entry3 - entry18",3.67828288179145,2.3309839167691,328,1.57799582199169,0.999977310315965
"entry3 - entry20",-5.55386850617204,2.30316071723737,328,-2.41141161561399,0.933104723453336
"entry3 - entry21",-2.36717132822234,2.28460982258844,328,-1.03613812074937,0.999999999905755
"entry3 - entry22",-0.679335995234077,2.30005852252585,328,-0.295355960981397,1
"entry3 - entry23",-0.0184970237371669,2.30229112509049,328,-0.00803418105364058,1
"entry3 - entry24",-2.89115529981007,2.33537099902655,328,-1.23798544257644,0.999999972981825
"entry3 - entry25",0.70051295122469,2.31243222305029,328,0.302933398108705,1
"entry3 - entry26",-9.23249200862215,2.37583836417562,328,-3.88599331833152,0.0616301342365201
"entry3 - entry27",-1.67749638897769,2.36305113461828,328,-0.709885776233392,1
"entry3 - entry28",-0.13862577408403,2.29998656348074,328,-0.060272427798116,1
"entry3 - entry29",1.42892709472618,2.30139933298433,328,0.620894893922309,1
"entry3 - entry30",3.44999240801188,2.29442583357405,328,1.50364084884705,0.99999338826367
"entry3 - entry31",4.14751766275352,2.29733389894183,328,1.80536127755043,0.999487743424682
"entry3 - entry32",-6.12800681605384,2.31164349015491,328,-2.65093075214776,0.816154594479924
"entry3 - entry33",-1.88758322816789,2.29721573341213,328,-0.821683049055305,1
"entry3 - entry34",-1.32427120375022,2.30309924449629,328,-0.574995283818024,1
"entry3 - entry35",-1.16548155428711,2.33663449253026,328,-0.498786420389201,1
"entry3 - entry36",-0.389437489858421,2.31297218632022,328,-0.16837102156338,1
"entry3 - entry37",-2.60476819831509,2.28882604355286,328,-1.13803677027014,0.999999998015937
"entry3 - entry40",-1.32999348245893,2.30724027468936,328,-0.576443423361267,1
"entry3 - entry41",5.54953054997332,2.35508365865643,328,2.35640484768992,0.949952189531869
"entry3 - entry42",-0.803244556413511,2.29782736601728,328,-0.349566972825177,1
"entry3 - entry43",7.53129293285292,2.31007742981881,328,3.26019069128935,0.338465335851245
"entry3 - entry44",4.95560966231865,2.29259323964558,328,2.16157387914341,0.985496210855295
"entry3 - entry45",-1.98291859895118,2.30094527897242,328,-0.861784335799905,1
"entry3 - entry46",2.03714240342387,2.30149950644838,328,0.885137015113916,1
"entry4 - entry5",-1.6901065074601,2.3015257703337,328,-0.734341769814315,1
"entry4 - entry6",10.3283542675177,2.30072527942032,328,4.48917320112203,0.00662568313892831
"entry4 - entry8",-2.33856168984179,2.29698285436254,328,-1.01810150014846,0.999999999947532
"entry4 - entry9",3.60970152280538,2.31079150682222,328,1.56210610613218,0.999982395602356
"entry4 - entry10",9.18400922777014,2.28956025602375,328,4.01125465189543,0.0404376970517403
"entry4 - entry11",-0.538248993457515,2.29286684060954,328,-0.234749346941764,1
"entry4 - entry12",6.98861742103097,2.29537983876235,328,3.04464529269333,0.507910897133547
"entry4 - entry13",1.57973396718075,2.30410616024741,328,0.685616832434112,1
"entry4 - entry14",-3.2060222132545,2.29822907337457,328,-1.39499680445126,0.999999127940308
"entry4 - entry15",-0.966332054516434,2.29925961767367,328,-0.420279661804413,1
"entry4 - entry16",-0.574885049243258,2.2987094576182,328,-0.250090348450962,1
"entry4 - entry17",0.265355168440035,2.30136613259356,328,0.115303325569057,1
"entry4 - entry18",5.85552335435122,2.33453109875438,328,2.50822246809028,0.894551147921211
"entry4 - entry20",-3.37662803361227,2.30675847667732,328,-1.46379782181445,0.999996750964399
"entry4 - entry21",-0.189930855662569,2.28823901255654,328,-0.0830030668214017,1
"entry4 - entry22",1.49790447732569,2.30366708910813,328,0.650226104460958,1
"entry4 - entry23",2.1587434488226,2.30589517868234,328,0.93618455373855,0.999999999997132
"entry4 - entry24",-0.713914827250299,2.3389005184957,328,-0.305235225527875,1
"entry4 - entry25",2.87775342378446,2.31596851022996,328,1.24257018654313,0.999999969786841
"entry4 - entry26",-7.05525153606238,2.3793756986596,328,-2.96516919965052,0.574732816715737
"entry4 - entry27",0.499744083582076,2.36659601512673,328,0.211165775818022,1
"entry4 - entry28",2.03861469847574,2.30359587283987,328,0.884970633309278,1
"entry4 - entry29",3.60616756728594,2.30501204954285,328,1.56448968151865,0.999981706531651
"entry4 - entry30",5.62723288057164,2.29802519313175,328,2.44872549586928,0.919631237276517
"entry4 - entry31",6.32475813531329,2.3009439109384,328,2.74876675839257,0.748802228219273
"entry4 - entry32",-3.95076634349408,2.31524725092422,328,-1.70641228141702,0.999852509039523
"entry4 - entry33",0.289657244391873,2.3008328984338,328,0.12589234298112,1
"entry4 - entry34",0.852969268809544,2.30669166759311,328,0.369780357207241,1
"entry4 - entry35",1.01175891827266,2.34016039388707,328,0.43234597120589,1
"entry4 - entry36",1.78780298270135,2.31654991416575,328,0.771752411536178,1
"entry4 - entry37",-0.427527725755322,2.29243738618775,328,-0.186494832238924,1
"entry4 - entry40",0.847246990100842,2.31083916602025,328,0.366640397375634,1
"entry4 - entry41",7.72677102253309,2.35858630408082,328,3.27601793038663,0.327227057151584
"entry4 - entry42",1.37399591614626,2.3014389363631,328,0.59701602090627,1
"entry4 - entry43",9.70853340541269,2.31367122803149,328,4.19615945765678,0.020820042358241
"entry4 - entry44",7.13285013487841,2.29621343757282,328,3.10635327629564,0.456940976348221
"entry4 - entry45",0.194321873608591,2.3045033346942,328,0.0843226697410602,1
"entry4 - entry46",4.21438287598364,2.30511691563143,328,1.82827293809052,0.999331552589005
"entry5 - entry6",12.0184607749778,2.29650949517446,328,5.23335993177106,0.000234030258551621
"entry5 - entry8",-0.648455182381694,2.29277589770264,328,-0.282825365981667,1
"entry5 - entry9",5.29980803026548,2.30652720890615,328,2.29774355568034,0.964262958848766
"entry5 - entry10",10.8741157352302,2.28536049264643,328,4.75816212375233,0.00211619788766748
"entry5 - entry11",1.15185751400258,2.28865635104676,328,0.503289851041097,1
"entry5 - entry12",8.67872392849107,2.29116461656373,328,3.78790937401405,0.0842704669380369
"entry5 - entry13",3.26984047464085,2.29987525037389,328,1.42174688566663,0.999998525589151
"entry5 - entry14",-1.5159157057944,2.29401897792469,328,-0.660812190475333,1
"entry5 - entry15",0.723774452943666,2.29505963533023,328,0.31536193735529,1
"entry5 - entry16",1.11522145821684,2.29448280343236,328,0.486044809988797,1
"entry5 - entry17",1.95546167590014,2.29716514624382,328,0.851249932595216,1
"entry5 - entry18",7.54562986181132,2.3303800071517,328,3.2379396659148,0.354602098994091
"entry5 - entry20",-1.68652152615217,2.30253388539832,328,-0.732463281798963,1
"entry5 - entry21",1.50017565179753,2.28403862252576,328,0.656808355604158,1
"entry5 - entry22",3.18801098478579,2.29944925345398,328,1.38642371863485,0.999999265849992
"entry5 - entry23",3.8488499562827,2.30174372436771,328,1.67214530250973,0.999907789657948
"entry5 - entry24",0.976191680209801,2.3347399795171,328,0.418115802519348,1
"entry5 - entry25",4.56785993124456,2.31180531937117,328,1.97588434154441,0.996899234186342
"entry5 - entry26",-5.36514502860228,2.37524480955619,328,-2.25877560368388,0.971896350566549
"entry5 - entry27",2.18985059104218,2.36249768377143,328,0.926921793864514,0.999999999998046
"entry5 - entry28",3.72872120593584,2.29935052213502,328,1.62164105474166,0.999955611749685
"entry5 - entry29",5.29627407474604,2.30079587154146,328,2.30193131874742,0.963357548044744
"entry5 - entry30",7.31733938803174,2.29381753579431,328,3.1900267888997,0.390600551972734
"entry5 - entry31",8.01486464277339,2.29671419193561,328,3.48970919887019,0.197257509579273
"entry5 - entry32",-2.26065983603398,2.31103736107419,328,-0.978201336815776,0.999999999986489
"entry5 - entry33",1.97976375185197,2.29661268044321,328,0.862036410715068,1
"entry5 - entry34",2.54307577626964,2.30249681534447,328,1.10448612103256,0.999999999238081
"entry5 - entry35",2.70186542573276,2.33603033954141,328,1.15660545156411,0.999999996690804
"entry5 - entry36",3.47790949016145,2.31232756447874,328,1.50407301438949,0.999993338421474
"entry5 - entry37",1.26257878170478,2.28822041918325,328,0.551773234396466,1
"entry5 - entry40",2.53735349756094,2.30660611276524,328,1.10003761956526,0.999999999331069
"entry5 - entry41",9.41687752999318,2.35446131082,328,3.99958898739071,0.0420981488735924
"entry5 - entry42",3.06410242360636,2.29725128591813,328,1.33381247510402,0.999999755345091
"entry5 - entry43",11.3986399128728,2.30949892758119,328,4.93554674425024,0.00095504784183964
"entry5 - entry44",8.82295664233851,2.29200756112679,328,3.84944482382117,0.0693759107773951
"entry5 - entry45",1.88442838106869,2.30031857954337,328,0.819203217252961,1
"entry5 - entry46",5.90448938344374,2.30087835362584,328,2.56618928772968,0.865774881880813
"entry6 - entry8",-12.6669159573595,2.29194290572487,328,-5.5267153146441,5.40661780515928e-05
"entry6 - entry9",-6.71865274471234,2.30579886027613,328,-2.91380695014645,0.617817877101603
"entry6 - entry10",-1.14434503974758,2.28451126923368,328,-0.500914596114662,1
"entry6 - entry11",-10.8666032609752,2.28782146088047,328,-4.74976017437707,0.00219566599766419
"entry6 - entry12",-3.33973684648675,2.29034109270071,328,-1.45818317504342,0.999997069123623
"entry6 - entry13",-8.74862030033697,2.29908611928825,328,-3.80525993652006,0.0798232754997231
"entry6 - entry14",-13.5343764807722,2.29320011256709,328,-5.90196049904313,7.46191654099615e-06
"entry6 - entry15",-11.2946863220342,2.29423410741288,328,-4.92307488827752,0.00101106621143598
"entry6 - entry16",-10.903239316761,2.29367047338972,328,-4.75362064571007,0.00215880888409414
"entry6 - entry17",-10.0629990990777,2.29634300875959,328,-4.38218465651322,0.0101910977264827
"entry6 - entry18",-4.4728309131665,2.32955990557088,328,-1.92003257888764,0.99820294193184
"entry6 - entry20",-13.70498230113,2.30175200761023,328,-5.9541524264202,5.61509458985032e-06
"entry6 - entry21",-10.5182851231803,2.2831836946566,328,-4.60685013991494,0.00406209777597866
"entry6 - entry22",-8.83044979019203,2.29865110559369,328,-3.84157898895723,0.0711465315047553
"entry6 - entry23",-8.16961081869512,2.30089330379489,328,-3.55062566578854,0.167975366627164
"entry6 - entry24",-11.042269094768,2.33394798443767,328,-4.73115475083241,0.0023817799392547
"entry6 - entry25",-7.45060084373326,2.3110077896039,328,-3.22396180456418,0.364933058563707
"entry6 - entry26",-17.3836058035801,2.3744750117514,328,-7.32103126693175,1.64464453167312e-09
"entry6 - entry27",-9.82861018393564,2.36166865605941,328,-4.16172275425601,0.0236452914267682
"entry6 - entry28",-8.28973956904198,2.29858015123748,328,-3.6064609557248,0.144093976116798
"entry6 - entry29",-6.72218670023178,2.29999637330879,328,-2.92269447823572,0.610398242751928
"entry6 - entry30",-4.70112138694608,2.29300153447542,328,-2.05020420451728,0.993970550683356
"entry6 - entry31",-4.00359613220443,2.29592390257763,328,-1.74378433349189,0.999759459833823
"entry6 - entry32",-14.2791206110118,2.31024457505349,328,-6.18078309335764,1.59467365257182e-06
"entry6 - entry33",-10.0386970231258,2.29580626163629,328,-4.37262376659387,0.0105836343902985
"entry6 - entry34",-9.47538499870818,2.30168629918115,328,-4.1167143420366,0.0278553167579183
"entry6 - entry35",-9.31659534924506,2.33520936621312,328,-3.98961886845857,0.0435642419489414
"entry6 - entry36",-8.54055128481637,2.31156891469378,328,-3.69469896853487,0.111798335306831
"entry6 - entry37",-10.755881993273,2.28739829320185,328,-4.70223398576432,0.00270087425114929
"entry6 - entry40",-9.48110727741688,2.3058373636589,328,-4.11178491026456,0.028354880323847
"entry6 - entry41",-2.60158324498464,2.35368748509955,328,-1.10532229170374,0.999999999219279
"entry6 - entry42",-8.95435835137146,2.29641942330469,328,-3.89926955873138,0.0590052383691576
"entry6 - entry43",-0.61982086210503,2.30868734715333,328,-0.268473278925916,1
"entry6 - entry44",-3.19550413263931,2.29117963271428,328,-1.3946982100455,0.999999133125772
"entry6 - entry45",-10.1340323939091,2.29950877163259,328,-4.40704228612889,0.00923242971087457
"entry6 - entry46",-6.11397139153408,2.30009933384426,328,-2.65813362995742,0.811543090088872
